Name, TOI, IAR, ICR, IED, SFF, DODD, ABR
"Autohouse of Lancaster",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Binkley Ober 1501 Graystone Road",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Stauffers of Kissel Hill  (Rohrerstown Rd)","Standard","2008-07-24","2008-07-24","2011-02-01","0","1990-01-01","1990-01-01"
"Bent Creek",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Brighton Residential",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Chadwyck Estates",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Kissel Hill Commons - LOT #287 - Residential",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Laurel Pond (Milton Estates)",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Mondamin Farm",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Oldefield",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Stonehenge",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Wellesley Manor",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Willowbend Estates",,"1990-01-01","1990-01-01","1990-01-01","0","2007-03-05","2004-03-01"
"Golden Triangle Apartments","Township Road","2005-12-01","2006-10-01","2005-10-20","0","1990-01-01","1990-01-01"
"Manheim Township High School","Standard","2006-05-04","2008-12-24","2010-05-01","0","2009-03-31","2009-02-27"
"Sylvan Retreat Road Lots","Standard","2007-11-08","2007-11-09","2008-10-01","0","2008-05-22","2008-05-02"
"Roseville Realty Co.","Standard","2009-04-24","2010-04-09","2014-04-09","0","1990-01-01","1990-01-01"
"329 East New St. lot - Mountville","Township Road","2007-06-05","2007-04-10","2008-04-09","1","1990-01-01","1990-01-01"
"331 East New St. lot - Mountville","Township Road","2007-06-05","2007-04-10","2009-04-09","1","1990-01-01","1990-01-01"
"Stoltzfus, Benuel Subdivision - Farmdale Rd","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Airport Industrial Park - Lot 33","Standard","2007-09-19","2007-09-18","2008-08-14","0","1990-01-01","1990-01-01"
"Lincoln West Apts - Temporary Trailers","Standard","2007-06-26","2009-12-31","2010-12-31","0","1990-01-01","1990-01-01"
"Hempfield Hill Estates",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Eshelman Trust Lot - 145 Weaver Rd","Township Road","2007-05-21","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Hempfield Commons - Residential",,"1990-01-01","2008-10-01","2011-10-06","0","1990-01-01","1990-01-01"
"Fruitville Day Care Center","Township Road","2007-08-16","2007-08-16","2009-08-01","0","1990-01-01","1990-01-01"
"Sarsen Drive","Township Road","2006-01-06","2006-11-04","2006-10-13","0","1990-01-01","2007-05-31"
"17 Roselawn Avenue","Township Road","2007-05-07","2007-05-18","2007-07-25","0","1990-01-01","1990-01-01"
"Hempfield Commons - Commercial",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Tingley Lot - 781 Prospect Rd","State Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Kissel Hill Commons - LOT #308 Community Bldg","Township Road","2007-09-10","2007-10-01","2008-10-06","0","1990-01-01","1990-01-01"
"Kleine Property",,"1990-01-01","2008-12-17","2009-12-31","0","1990-01-01","1990-01-01"
"1632 Temple Ave (Dave Charles lot)","Township Road","2012-05-03","2012-05-04","2012-10-01","0","1990-01-01","1990-01-01"
"Blank, John Lot @ 260 Lania Drive",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Brethren Village - Covenant Crossing","Standard","2007-11-26","2007-11-26","2009-04-01","0","1990-01-01","1990-01-01"
"3296 Marietta Ave (Carol A Wile)",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Independence Residential",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Independence Commercial",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Bradford Run",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"K & W Tire","Standard","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"LIFT INC","Township Road","2007-11-26","2007-10-29","2010-12-31","0","1990-01-01","1990-01-01"
"64 Elizabeth St Landisville","Township Road","2007-08-17","2007-08-17","2007-08-24","0","1990-01-01","1990-01-01"
"Highland Presbyterian Church Add. & Renovations",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Towne Centre at Wetherburn - Commercial","N/A","1990-01-01","2007-10-11","2008-07-01","0","2009-03-10","2009-01-27"
"Moore Business Park","Township Road","2010-09-20","2010-09-16","2011-06-30","0","1990-01-01","1990-01-01"
"Sauder Tract Final Subdivision","State Road","2008-05-20","2008-05-20","2008-10-06","0","1990-01-01","1990-01-01"
"City of Lancaster Susquehanna WTP","Township Road","2009-11-02","2009-12-29","2010-05-25","0","1990-01-01","1990-01-01"
"Marietta Ave Apartments (Gehman)","State Road","2009-06-19","2009-06-25","2010-01-23","0","1990-01-01","1990-01-01"
"Crossings at Conestoga Creek (The)","Standard","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Brekland Subdivision","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Herr, Christopher @ 182 Buch Avenue","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Brighton Commercial - Lot 87","Standard","2008-03-25","2008-04-06","2008-12-31","0","1990-01-01","1990-01-01"
"Woods Edge Phase 2 Section 4","Standard","2010-10-11","2010-10-14","2011-10-01","0","2011-12-23","2011-10-25"
